"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R5 Quadruple Extra Large","r5.4xlarge","128.0 GiB","71 units","16 vCPUs","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$1.008000 hourly","$0.635000 hourly","$1.138 hourly","$0.765 hourly","$1.158 hourly","$0.695 hourly","$1.744000 hourly","$1.371000 hourly","$2.014 hourly","$1.641 hourly","$3.664 hourly","$3.291 hourly","$7.744 hourly","$7.371 hourly","$1.278 hourly","$0.905 hourly","$2.928 hourly","$2.555 hourly","$7.008 hourly","$6.635 hourly","0","$0.252 hourly"
"R5 Large","r5.large","16.0 GiB","10 units","2 vCPUs","0","0","5 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.126000 hourly","$0.079000 hourly","$0.186 hourly","$0.139 hourly","$0.189 hourly","$0.104 hourly","$0.218000 hourly","$0.171000 hourly","$0.286 hourly","$0.239 hourly","$0.698 hourly","$0.651 hourly","unavailable","unavailable","$0.194 hourly","$0.147 hourly","$0.606 hourly","$0.559 hourly","unavailable","unavailable","0","unavailable"
"R5 Extra Large","r5.xlarge","32.0 GiB","19 units","4 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.252000 hourly","$0.159000 hourly","$0.312 hourly","$0.219 hourly","$0.377 hourly","$0.209 hourly","$0.436000 hourly","$0.343000 hourly","$0.504 hourly","$0.41 hourly","$0.916 hourly","$0.823 hourly","$1.936 hourly","$1.843 hourly","$0.32 hourly","$0.226 hourly","$0.732 hourly","$0.639 hourly","$1.752 hourly","$1.659 hourly","0","$0.063 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","0 units","48 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","$2.712000 hourly","$1.711000 hourly","$2.842 hourly","$1.841 hourly","$2.862 hourly","$1.771 hourly","$4.920000 hourly","$3.919000 hourly","$5.731 hourly","$4.731 hourly","$10.68 hourly","$9.679 hourly","$22.92 hourly","$21.919 hourly","$3.523 hourly","$2.523 hourly","$8.472 hourly","$7.471 hourly","$20.712 hourly","$19.711 hourly","0","$0.270 hourly"
"R5A 24xlarge","r5a.24xlarge","768.0 GiB","0 units","96 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","20 Gigabit","10000.0 Mbps","1250.0 MB/s","60000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","Yes","$5.424000 hourly","$3.423000 hourly","$5.554 hourly","$3.553 hourly","$5.574 hourly","$3.483 hourly","$9.840000 hourly","$7.839000 hourly","$11.462 hourly","$9.461 hourly","$21.36 hourly","$19.359 hourly","$45.84 hourly","$43.839 hourly","$7.046 hourly","$5.045 hourly","$16.944 hourly","$14.943 hourly","$41.424 hourly","$39.423 hourly","0","$0.270 hourly"
"R5A Double Extra Large","r5a.2xlarge","64.0 GiB","0 units","8 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.452000 hourly","$0.285000 hourly","$0.582 hourly","$0.415 hourly","$0.602 hourly","$0.345 hourly","$0.820000 hourly","$0.653000 hourly","$0.955 hourly","$0.788 hourly","$1.78 hourly","$1.613 hourly","$3.82 hourly","$3.653 hourly","$0.587 hourly","$0.42 hourly","$1.412 hourly","$1.245 hourly","$3.452 hourly","$3.285 hourly","0","$0.113 hourly"
"R5A Quadruple Extra Large","r5a.4xlarge","128.0 GiB","0 units","16 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","240","8","Yes","Yes","Yes","No","Unknown","Yes","$0.904000 hourly","$0.570000 hourly","$1.034 hourly","$0.7 hourly","$1.054 hourly","$0.63 hourly","$1.640000 hourly","$1.306000 hourly","$1.91 hourly","$1.577 hourly","$3.56 hourly","$3.226 hourly","$7.64 hourly","$7.306 hourly","$1.174 hourly","$0.841 hourly","$2.824 hourly","$2.49 hourly","$6.904 hourly","$6.57 hourly","0","$0.226 hourly"
"R5A Large","r5a.large","16.0 GiB","0 units","2 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","30","3","Yes","Yes","Yes","No","Unknown","No","$0.113000 hourly","$0.071000 hourly","$0.173 hourly","$0.131 hourly","$0.176 hourly","$0.096 hourly","$0.205000 hourly","$0.163000 hourly","$0.273 hourly","$0.231 hourly","$0.685 hourly","$0.643 hourly","unavailable","unavailable","$0.181 hourly","$0.139 hourly","$0.593 hourly","$0.551 hourly","unavailable","unavailable","0","unavailable"
"R5A Extra Large","r5a.xlarge","32.0 GiB","0 units","4 vCPUs","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","2210.0 Mbps","265.0 MB/s","16000.0 IOPS","No","60","4","Yes","Yes","Yes","No","Unknown","Yes","$0.226000 hourly","$0.143000 hourly","$0.286 hourly","$0.203 hourly","$0.351 hourly","$0.193 hourly","$0.410000 hourly","$0.327000 hourly","$0.478 hourly","$0.394 hourly","$0.89 hourly","$0.807 hourly","$1.91 hourly","$1.827 hourly","$0.294 hourly","$0.21 hourly","$0.706 hourly","$0.623 hourly","$1.726 hourly","$1.643 hourly","0","$0.057 hourly"
"R5D 12xlarge","r5d.12xlarge","384.0 GiB","173 units","48 vCPUs","0","0","3.604 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$3.456000 hourly","$2.181000 hourly","$3.586 hourly","$2.311 hourly","$3.606 hourly","$2.241 hourly","$5.664000 hourly","$4.389000 hourly","$6.475 hourly","$5.2 hourly","$11.424 hourly","$10.149 hourly","$23.664 hourly","$22.389 hourly","$4.267 hourly","$2.992 hourly","$9.216 hourly","$7.941 hourly","$21.456 hourly","$20.181 hourly","0","$0.270 hourly"
"R5D 24xlarge","r5d.24xlarge","768.0 GiB","347 units","96 vCPUs","0","0","3.615 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","3600 GiB               (4 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","No","Yes","Yes","No","HVM","Yes","$6.912000 hourly","$4.362000 hourly","$7.042 hourly","$4.492 hourly","$7.062 hourly","$4.422 hourly","$11.328000 hourly","$8.778000 hourly","$12.95 hourly","$10.401 hourly","$22.848 hourly","$20.298 hourly","$47.328 hourly","$44.778 hourly","$8.534 hourly","$5.985 hourly","$18.432 hourly","$15.882 hourly","$42.912 hourly","$40.362 hourly","0","$0.270 hourly"
"R5D Double Extra Large","r5d.2xlarge","64.0 GiB","38 units","8 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","300 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.576000 hourly","$0.364000 hourly","$0.706 hourly","$0.494 hourly","$0.726 hourly","$0.424 hourly","$0.944000 hourly","$0.732000 hourly","$1.079 hourly","$0.867 hourly","$1.904 hourly","$1.692 hourly","$3.944 hourly","$3.732 hourly","$0.711 hourly","$0.499 hourly","$1.536 hourly","$1.324 hourly","$3.576 hourly","$3.364 hourly","0","$0.144 hourly"
"R5D Quadruple Extra Large","r5d.4xlarge","128.0 GiB","71 units","16 vCPUs","0","0","4.438 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","600 GiB               (2 * 300 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","240","8","No","Yes","Yes","No","HVM","Yes","$1.152000 hourly","$0.727000 hourly","$1.282 hourly","$0.857 hourly","$1.302 hourly","$0.787 hourly","$1.888000 hourly","$1.463000 hourly","$2.158 hourly","$1.733 hourly","$3.808 hourly","$3.383 hourly","$7.888 hourly","$7.463 hourly","$1.422 hourly","$0.997 hourly","$3.072 hourly","$2.647 hourly","$7.152 hourly","$6.727 hourly","0","$0.270 hourly"
"R5D Large","r5d.large","16.0 GiB","10 units","2 vCPUs","0","0","5 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","75 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","30","3","No","Yes","Yes","No","HVM","No","$0.144000 hourly","$0.091000 hourly","$0.204 hourly","$0.151 hourly","$0.207 hourly","$0.116 hourly","$0.236000 hourly","$0.183000 hourly","$0.304 hourly","$0.25 hourly","$0.716 hourly","$0.663 hourly","unavailable","unavailable","$0.212 hourly","$0.158 hourly","$0.624 hourly","$0.571 hourly","unavailable","unavailable","0","unavailable"
"R5D Extra Large","r5d.xlarge","32.0 GiB","19 units","4 vCPUs","0","0","4.75 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","150 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","3500.0 Mbps","437.5 MB/s","18750.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","Yes","$0.288000 hourly","$0.182000 hourly","$0.348 hourly","$0.242 hourly","$0.413 hourly","$0.232 hourly","$0.472000 hourly","$0.366000 hourly","$0.54 hourly","$0.433 hourly","$0.952 hourly","$0.846 hourly","$1.972 hourly","$1.866 hourly","$0.356 hourly","$0.249 hourly","$0.768 hourly","$0.662 hourly","$1.788 hourly","$1.682 hourly","0","$0.072 hourly"
"T1 Micro","t1.micro","0.613 GiB","Burstable","1 vCPUs","0","0","Burstable","Variable","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","32/64-bit","Very Low","N/A","0 MB/s","0 IOPS","No","4","2","No","No","No","No","PV","No","$0.020000 hourly","$0.014000 hourly","$0.08 hourly","$0.074 hourly","$0.03 hourly","$0.022 hourly","$0.020000 hourly","$0.015000 hourly","$0.07 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Double Extra Large","t2.2xlarge","32.0 GiB","Base performance:                 136%","8 vCPUs                                                   for a                 4h 4.8m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$0.371200 hourly","$0.230000 hourly","$0.5012 hourly","$0.36 hourly","$0.4712 hourly","$0.263 hourly","$0.433200 hourly","$0.292000 hourly","$0.5742 hourly","$0.433 hourly","unavailable","unavailable","$3.4332 hourly","$3.292 hourly","$0.5064 hourly","$0.3652 hourly","unavailable","unavailable","$3.3712 hourly","$3.23 hourly","unavailable","unavailable"
"T2 Large","t2.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","36","3","No","Yes","Yes","No","HVM","No","$0.092800 hourly","$0.057500 hourly","$0.1528 hourly","$0.1175 hourly","$0.1928 hourly","$0.0905 hourly","$0.120800 hourly","$0.085500 hourly","$0.1918 hourly","$0.1565 hourly","unavailable","unavailable","unavailable","unavailable","$0.1604 hourly","$0.1251 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Medium","t2.medium","4.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","18","3","No","Yes","Yes","No","HVM","No","$0.046400 hourly","$0.028700 hourly","$0.1064 hourly","$0.0887 hourly","$0.1464 hourly","$0.0617 hourly","$0.064400 hourly","$0.046700 hourly","$0.1358 hourly","$0.1181 hourly","unavailable","unavailable","unavailable","unavailable","$0.114 hourly","$0.0963 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Micro","t2.micro","1.0 GiB","Base performance:                 10%","1 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.011600 hourly","$0.007200 hourly","$0.0716 hourly","$0.0672 hourly","$0.0216 hourly","$0.0162 hourly","$0.016200 hourly","$0.011800 hourly","$0.068 hourly","$0.047 hourly","unavailable","unavailable","unavailable","unavailable","$0.0792 hourly","$0.0748 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Nano","t2.nano","0.5 GiB","Base performance:                 5%","1 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low","N/A","0 MB/s","0 IOPS","No","4","2","No","Yes","Yes","No","HVM","No","$0.005800 hourly","$0.003600 hourly","unavailable","unavailable","$0.0158 hourly","$0.0126 hourly","$0.008100 hourly","$0.005900 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Small","t2.small","2.0 GiB","Base performance:                 20%","1 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.3 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","32/64-bit","Low to Moderate","N/A","0 MB/s","0 IOPS","No","12","3","No","Yes","Yes","No","HVM","No","$0.023000 hourly","$0.014400 hourly","$0.083 hourly","$0.0744 hourly","$0.053 hourly","$0.028 hourly","$0.032000 hourly","$0.023600 hourly","$0.1034 hourly","$0.093 hourly","unavailable","unavailable","unavailable","unavailable","$0.0908 hourly","$0.082 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable"
"T2 Extra Large","t2.xlarge","16.0 GiB","Base performance:                 90%","4 vCPUs                                                   for a                 5h 24m                 burst","0","0","Burstable","Intel Xeon Family","Up to 3.0 GHz","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","45","3","No","Yes","Yes","No","HVM","No","$0.185600 hourly","$0.115000 hourly","$0.2456 hourly","$0.175 hourly","$0.2856 hourly","$0.148 hourly","$0.226600 hourly","$0.156000 hourly","$0.298 hourly","$0.2274 hourly","unavailable","unavailable","$1.7266 hourly","$1.656 hourly","$0.2532 hourly","$0.1826 hourly","unavailable","unavailable","$1.6856 hourly","$1.615 hourly","unavailable","unavailable"
"T3 Double Extra Large","t3.2xlarge","32.0 GiB","Base performance:                 320%","8 vCPUs                                                   for a                 9h 36m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","No","$0.332800 hourly","$0.208600 hourly","$0.4628 hourly","$0.3386 hourly","$0.4828 hourly","$0.2686 hourly","$0.480000 hourly","$0.355800 hourly","$0.6152 hourly","$0.491 hourly","$1.44 hourly","$1.3158 hourly","$3.48 hourly","$3.3558 hourly","$0.468 hourly","$0.3438 hourly","$1.2928 hourly","$1.1686 hourly","$3.3328 hourly","$3.2086 hourly","0","unavailable"
"T3 Large","t3.large","8.0 GiB","Base performance:                 60%","2 vCPUs                                                   for a                 7h 12m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","36","3","No","Yes","Yes","No","Unknown","No","$0.083200 hourly","$0.052200 hourly","$0.1432 hourly","$0.1122 hourly","$0.1462 hourly","$0.0772 hourly","$0.110800 hourly","$0.079800 hourly","$0.1784 hourly","$0.1474 hourly","unavailable","unavailable","unavailable","unavailable","$0.1508 hourly","$0.1198 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Medium","t3.medium","4.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","18","3","No","Yes","Yes","No","Unknown","No","$0.041600 hourly","$0.026100 hourly","$0.1016 hourly","$0.0861 hourly","$0.1046 hourly","$0.0511 hourly","$0.060000 hourly","$0.044500 hourly","$0.1276 hourly","$0.1121 hourly","unavailable","unavailable","unavailable","unavailable","$0.1092 hourly","$0.0937 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Micro","t3.micro","1.0 GiB","Base performance:                 20%","2 vCPUs                                                   for a                 2h 24m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","4","2","No","Yes","Yes","No","Unknown","No","$0.010400 hourly","$0.006500 hourly","$0.0704 hourly","$0.0665 hourly","$0.0104 hourly","$0.0105 hourly","$0.019600 hourly","$0.015700 hourly","$0.0872 hourly","$0.0833 hourly","unavailable","unavailable","unavailable","unavailable","$0.078 hourly","$0.0741 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Nano","t3.nano","0.5 GiB","Base performance:                 10%","2 vCPUs                                                   for a                 1h 12m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","4","2","No","Yes","Yes","No","Unknown","No","$0.005200 hourly","$0.003300 hourly","unavailable","unavailable","$0.0052 hourly","$0.0073 hourly","$0.009800 hourly","$0.007900 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Small","t3.small","2.0 GiB","Base performance:                 40%","2 vCPUs                                                   for a                 4h 48m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Low to Moderate","1536.0 Mbps","192.0 MB/s","11800.0 IOPS","No","12","3","No","Yes","Yes","No","Unknown","No","$0.020800 hourly","$0.013000 hourly","$0.0808 hourly","$0.073 hourly","$0.0518 hourly","$0.026 hourly","$0.039200 hourly","$0.031400 hourly","$0.1068 hourly","$0.099 hourly","unavailable","unavailable","unavailable","unavailable","$0.0884 hourly","$0.0806 hourly","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"T3 Extra Large","t3.xlarge","16.0 GiB","Base performance:                 160%","4 vCPUs                                                   for a                 9h 36m                 burst","0","0","Burstable","Intel Skylake E5 2686 v5 (2.5 GHz)","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Moderate","2048.0 Mbps","256.0 MB/s","15700.0 IOPS","No","60","4","No","Yes","Yes","No","Unknown","No","$0.166400 hourly","$0.104300 hourly","$0.2264 hourly","$0.1643 hourly","$0.2914 hourly","$0.1543 hourly","$0.240000 hourly","$0.177900 hourly","$0.3076 hourly","$0.2455 hourly","$0.72 hourly","$0.6579 hourly","$1.74 hourly","$1.6779 hourly","$0.234 hourly","$0.1719 hourly","$0.6464 hourly","$0.5843 hourly","$1.6664 hourly","$1.6043 hourly","0","unavailable"
"U-12TB1 Metal","u-12tb1.metal","12288.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"U-6TB1 Metal","u-6tb1.metal","6144.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"U-9TB1 Metal","u-9tb1.metal","9216.0 GiB","0 units","448 vCPUs","0","0","0 units","Intel Xeon Scalable (Skylake) processors","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","150","5","No","Yes","Yes","No","Unknown","No","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"X1 Extra High-Memory 16xlarge","x1.16xlarge","976.0 GiB","174.5 units","64 vCPUs","0","0","2.727 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","unknown","unknown","unknown","1920 GiB               SSD","Yes","No","64-bit","High","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$6.669000 hourly","$4.110000 hourly","$6.799 hourly","$4.24 hourly","$6.769 hourly","$4.143 hourly","$9.613000 hourly","$7.054000 hourly","$10.94 hourly","$8.136 hourly","$17.293 hourly","$14.734 hourly","$33.613 hourly","$31.054 hourly","$7.751 hourly","$5.191 hourly","$14.349 hourly","$11.79 hourly","$30.669 hourly","$28.11 hourly","0","unavailable"
"X1 Extra High-Memory 32xlarge","x1.32xlarge","1952.0 GiB","349 units","128 vCPUs","0","0","2.727 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","unknown","unknown","unknown","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","High","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$13.338000 hourly","$8.219000 hourly","$13.468 hourly","$8.349 hourly","$13.438 hourly","$8.252 hourly","$19.226000 hourly","$14.107000 hourly","$21.88 hourly","$16.271 hourly","$34.586 hourly","$29.467 hourly","$67.226 hourly","$62.107 hourly","$15.501 hourly","$10.383 hourly","$28.698 hourly","$23.579 hourly","$61.338 hourly","$56.219 hourly","0","unavailable"
"X1E 16xlarge","x1e.16xlarge","1952.0 GiB","179 units","64 vCPUs","0","0","2.797 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","Yes","1920 GiB               SSD","Yes","No","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$13.344000 hourly","$8.223000 hourly","$13.474 hourly","$8.353 hourly","$13.444 hourly","$8.256 hourly","$16.288000 hourly","$11.167000 hourly","$17.37 hourly","$12.249 hourly","$23.968 hourly","$18.847 hourly","$40.288 hourly","$35.167 hourly","$14.426 hourly","$9.305 hourly","$21.024 hourly","$15.903 hourly","$37.344 hourly","$32.223 hourly","0","unavailable"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","0","2.875 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","$1.668000 hourly","$1.028000 hourly","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","$2.036000 hourly","$1.396000 hourly","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","$1.803 hourly","$1.163 hourly","$2.628 hourly","$1.988 hourly","$4.668 hourly","$4.028 hourly","0","unavailable"
"X1E 32xlarge","x1e.32xlarge","3904.0 GiB","340 units","128 vCPUs","0","0","2.656 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","Yes","3840 GiB               (2 * 1920 GiB SSD)","Yes","No","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","No","$26.688000 hourly","unavailable","$26.818 hourly","$16.576 hourly","$26.788 hourly","$16.479 hourly","$32.576000 hourly","$22.334000 hourly","$34.74 hourly","$24.498 hourly","$47.936 hourly","$37.694 hourly","$80.576 hourly","$70.334 hourly","$28.851 hourly","$18.609 hourly","$42.048 hourly","$31.806 hourly","$74.688 hourly","$64.446 hourly","0","unavailable"
