"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"General Purpose GPU Eight Extra Large","p2.8xlarge","488.0 GiB","94 units","32 vCPUs","8","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","32500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$7.200000 hourly","$4.914000 hourly","$7.33 hourly","$5.044 hourly","$7.3 hourly","$4.947 hourly","$8.672000 hourly","$6.386000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"General Purpose GPU Extra Large","p2.xlarge","61.0 GiB","12 units","4 vCPUs","1","0","3 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","High","750.0 Mbps","93.75 MB/s","6000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$0.900000 hourly","$0.614000 hourly","$0.96 hourly","$0.674 hourly","$1 hourly","$0.647 hourly","$1.084000 hourly","$0.798000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.225 hourly"
"P3 16xlarge","p3.16xlarge","488.0 GiB","188 units","64 vCPUs","8","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","25 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$24.480000 hourly","$16.708000 hourly","$24.61 hourly","$16.838 hourly","$24.58 hourly","$16.741 hourly","$27.424000 hourly","$19.652000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"P3 Double Extra Large","p3.2xlarge","61.0 GiB","26 units","8 vCPUs","1","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","1750.0 Mbps","218.0 MB/s","10000.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","Yes","$3.060000 hourly","$2.088000 hourly","$3.19 hourly","$2.218 hourly","$3.16 hourly","$2.121 hourly","$3.428000 hourly","$2.456000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"P3 Eight Extra Large","p3.8xlarge","244.0 GiB","94 units","32 vCPUs","4","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$12.240000 hourly","$8.354000 hourly","$12.37 hourly","$8.484 hourly","$12.34 hourly","$8.387 hourly","$13.712000 hourly","$9.826000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"P3DN 24xlarge","p3dn.24xlarge","768.0 GiB","345 units","96 vCPUs","8","0","3.594 units","Intel Xeon Platinum 8175 (Skylake)","2.5 GHz","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","100 Gigabit","14000.0 Mbps","1750.0 MB/s","80000.0 IOPS","No","750","15","Yes","Yes","Yes","No","Unknown","No","$31.212000 hourly","$19.215000 hourly","$31.342 hourly","$19.345 hourly","$31.362 hourly","$19.275 hourly","$35.628000 hourly","$23.631000 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"R3 High-Memory Double Extra Large","r3.2xlarge","61.0 GiB","26 units","8 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","160 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$0.665000 hourly","$0.418000 hourly","$0.795 hourly","$0.548 hourly","$0.765 hourly","$0.451 hourly","$1.045000 hourly","$0.824000 hourly","$1.52 hourly","$1.069 hourly","$2.74 hourly","$2.412 hourly","$4.033 hourly","$3.789 hourly","$0.799 hourly","$0.512 hourly","$1.624 hourly","$1.337 hourly","$3.664 hourly","$3.377 hourly","unavailable","$0.180 hourly"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","320 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$1.330000 hourly","$0.836000 hourly","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$1.944000 hourly","$1.490000 hourly","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$1.598 hourly","$1.024 hourly","$3.248 hourly","$2.673 hourly","$7.328 hourly","$6.753 hourly","unavailable","$0.270 hourly"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$2.660000 hourly","$1.672000 hourly","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$3.500000 hourly","$1.989000 hourly","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","$3.197 hourly","$2.048 hourly","$6.496 hourly","$5.347 hourly","$14.656 hourly","$13.507 hourly","unavailable","$0.270 hourly"
"R3 High-Memory Large","r3.large","15.25 GiB","6.5 units","2 vCPUs","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","Yes","32 GiB               SSD","Yes","Yes","64-bit","Moderate","N/A","0 MB/s","0 IOPS","No","30","3","Yes","No","Yes","No","HVM","No","$0.166000 hourly","$0.105000 hourly","$0.226 hourly","$0.165 hourly","$0.266 hourly","$0.138 hourly","$0.291000 hourly","$0.238000 hourly","$0.386 hourly","$0.272 hourly","$0.946 hourly","$0.833 hourly","unavailable","unavailable","$0.234 hourly","$0.162 hourly","$0.646 hourly","$0.574 hourly","unavailable","unavailable","unavailable","unavailable"
